epoch,train_loss,val_macro_precision,val_macro_recall,val_macro_f1,selected_metric,selected_score,lr
1,0.5351005481335066,0.5564975878367808,0.7675319220430108,0.6210258063786218,macro_recall,0.7675319220430108,0.00029917828430524096
2,0.10422472945035641,0.6605849617244158,0.787586275791921,0.6320016527607393,macro_recall,0.787586275791921,0.0002967221401100708
3,0.03876936566420058,0.6778827075702076,0.817100543083406,0.6659132988624825,macro_recall,0.817100543083406,0.00029265847744427303
4,0.043398865627843126,0.6692426101700742,0.8131309484888114,0.6470100996220729,macro_recall,0.8131309484888114,0.0002870318186463901
5,0.019201670351815095,0.6422227525902143,0.8328293010752688,0.7177914143893525,macro_recall,0.8328293010752688,0.0002799038105676658
6,0.009388197616918675,0.7624276485929693,0.8413572090235397,0.7512910683991674,macro_recall,0.8413572090235397,0.0002713525491562421
7,0.00372907120346731,0.8394569147401449,0.8580231945655332,0.8135940620931525,macro_recall,0.8580231945655332,0.00026147172382160914
8,0.020745484407999063,0.46016207943291276,0.7002281767654751,0.47767425307659195,macro_recall,0.7002281767654751,0.00025036959095382875
9,0.17736664596822713,0.604323120281953,0.7652356237285672,0.6227475677843325,macro_recall,0.7652356237285672,0.000238167787843871
10,0.05498694543829346,0.6304163478799567,0.7278182668555653,0.5790126444637024,macro_recall,0.7278182668555653,0.00022500000000000002
11,0.013200654918071418,0.7829040020263425,0.8041394216797442,0.7348284954922197,macro_recall,0.8041394216797442,0.0002110104964613701
12,0.016938262301895737,0.6839150891668018,0.8069022903952339,0.6676429291548465,macro_recall,0.8069022903952339,0.00019635254915624216
13,0.008929980609721852,0.8144131009508575,0.8033767890874746,0.7657822730738016,macro_recall,0.8033767890874746,0.00018118675362266393
